appid,name,developer,publisher,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
467310,Rogue Port - Red Nightmare,Volens Nolens Games,Volens Nolens Games,75,21,0,"100,000 .. 200,000",332,0,336,0,37,199,81,2,English,"Adventure, Indie, RPG","Adventure, Indie, RPG, RPGMaker, Fantasy, Retro, Family Friendly, Modern, Singleplayer, Puzzle, Open World, Turn-Based, Pixel Graphics, 2D, JRPG, Top-Down, Turn-Based Combat, Great Soundtrack"
1374170,Camp Canyonwood,Deli Interactive LLC,Graffiti Games,19,7,0,"100,000 .. 200,000",0,0,0,0,1499,1999,25,2,English,"Casual, Indie, Simulation, Early Access","Singleplayer, Character Customization, Top-Down, Nature, Inventory Management, Resource Management, Sandbox, Conversation, Dark Humor, Family Friendly, Base-Building, Life Sim, Early Access, Cute, Building, Hunting, Management, Exploration, Fishing, Relaxing"
889260,Bonkies,Studio Gauntlet,Crunching Koalas,26,0,0,"100,000 .. 200,000",0,0,0,0,599,1499,60,2,"English, French, German, Spanish - Spain, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Latin America","Action, Adventure, Casual, Indie","Building, Puzzle, Physics, Cartoony, Difficult, 4 Player Local, Cartoon, Multiplayer, Exploration, Souls-like, Space, Mars, Science, Strategy, Cute, Cooking, Funny, Controller, Action, Casual"
493320,Killing Time,The 3DO Company,Ziggurat,51,14,0,"20,000 .. 50,000",0,0,0,0,649,999,35,2,English,Action,"Action, FPS, Horror, 1990's, FMV, Puzzle, Open World, Sandbox, First-Person, 2.5D, Zombies, Historical, Retro, Supernatural, Singleplayer, Gore, Sexual Content, Violent, Looter Shooter, Classic"
586130,Survival Driver,"Tero Lunkka, Mikko Seppälä",Tero Lunkka,34,38,0,"100,000 .. 200,000",215,0,210,0,51,199,74,2,English,"Casual, Indie, Racing","Indie, Racing, Casual"
2139310,Endless,幻想小白工作室,幻想小白工作室,8,1,0,"100,000 .. 200,000",0,0,0,0,99,99,0,2,"English, Not supported, Simplified Chinese, Traditional Chinese","Casual, Indie, RPG, Strategy","Strategy, Puzzle, Exploration, Time Manipulation, Drama, Detective, Multiple Endings, Story Rich, Casual, 2D Platformer, Trivia, Third Person, Romance, Alternate History, Mystery, Conspiracy, Crime, Education, Thriller, Fantasy"
542720,Bubble Blowout,EnsenaSoft,EnsenaSoft,56,77,0,"100,000 .. 200,000",261,0,321,0,49,99,51,2,English,"Action, Casual","Action, Casual, Match 3"
514490,Ultimate Word Search 2: Letter Boxed,EnsenaSoft,EnsenaSoft,32,52,0,"50,000 .. 100,000",389,0,389,0,49,99,51,2,English,Casual,"Casual, Puzzle"
461340,A Timely Intervention,Aldorlea Games,Aldorlea Games,31,5,0,"50,000 .. 100,000",0,0,0,0,59,599,90,2,English,"Adventure, Casual, Indie, RPG, Strategy","RPG, Female Protagonist, Time Travel, Casual, Adventure, Indie, Strategy, RPGMaker, Anime, Exploration, Story Rich, Replay Value, Futuristic, JRPG, 2D, Pixel Graphics, Fantasy, Time Manipulation, Sci-fi, Party-Based RPG"
200980,Geneforge 2,Spiderweb Software,Spiderweb Software,63,5,0,"50,000 .. 100,000",1767,0,1767,0,999,1999,50,2,English,"Strategy, RPG, Indie","RPG, Indie, Strategy, Isometric, Turn-Based Combat, Turn-Based, Fantasy, Creature Collector, Singleplayer, Story Rich, CRPG"
402220,Lift It,89AM Studio,89AM Studio,62,54,0,"50,000 .. 100,000",421,0,431,0,499,499,0,2,English,"Action, Adventure, Casual, Indie, Simulation, Sports","Sports, Action, Adventure, Indie, Casual, Simulation"
201000,Geneforge 4: Rebellion,Spiderweb Software,Spiderweb Software,35,3,0,"50,000 .. 100,000",1,0,1,0,999,1999,50,2,English,"Strategy, RPG, Indie","RPG, Indie, Strategy, Isometric, Turn-Based Combat, Turn-Based, Creature Collector"
422130,Comic Book Hero: The Greatest Cape,Grey Dog Software,Viva Media,59,70,0,"50,000 .. 100,000",0,0,0,0,1999,1999,0,2,English,"RPG, Simulation","RPG, Simulation, Superhero, Management, Singleplayer"
576650,Fovos VR,OnSkull Games,OnSkull Games,67,40,0,"50,000 .. 100,000",2,0,4,0,0,0,0,2,English,"Action, Free to Play","Free to Play, Action, Horror, Multiplayer, VR, Zombies"
