appid,name,developer,publisher,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
1922870,Shady Business,Jirobobo,  Gales Corp.   ,9,1,0,"50,000 .. 100,000",0,0,0,0,109,1099,90,1,English,"Casual, Indie","2D, Singleplayer, Indie, Pixel Graphics, Adventure, Casual, Flight, World War II, War, Combat"
431640,Doodle Kingdom,JoyBits Ltd.,JoyBits Ltd.,80,102,0,"50,000 .. 100,000",414,0,427,0,224,899,75,1,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Swedish, Simplified Chinese","Action, Casual, Indie, Simulation","Casual, Indie, Simulation, Puzzle, 2D, Action, Clicker, Crafting, Sandbox, Memes, Education, Minimalist, Funny, Cute, God Game, Experimental, Illuminati, Open World, Trading Card Game"
50510,Burn Zombie Burn!,doublesix,P2 Games,71,102,0,"50,000 .. 100,000",90,0,76,0,999,999,0,1,"English, French, German, Italian, Spanish - Spain",Action,"Action, Zombies, Twin Stick Shooter, Top-Down Shooter"
388050,Snik,Cleverweek,Cleverweek,61,47,0,"50,000 .. 100,000",357,0,339,0,299,299,0,1,English,"Casual, Indie","Casual, Indie"
807140,Marble Run 2D,PS Games,PS Games,62,22,0,"50,000 .. 100,000",169,0,260,0,194,299,35,1,"English, Russian","Indie, Simulation","Side Scroller, 3D Platformer, Puzzle-Platformer, FPS, Physics, Platformer, 2D, Puzzle, Simulation, Colorful, Logic, Level Editor, Retro, Singleplayer, Indie, Free to Play, Multiplayer, Local Multiplayer, Nudity"
846820,Tell Me Everything,LizardFactory,LizardFactory,32,19,0,"50,000 .. 100,000",1,0,1,0,49,99,51,1,English,"Adventure, Indie, RPG","Investigation, Word Game, Detective, Adventure, Mystery, RPG, Indie, Text-Based, Puzzle, Logic, Choose Your Own Adventure, Typing, Story Rich, Singleplayer, Point & Click, Visual Novel, Stylized, America, Noir, Multiple Endings"
18480,Mata Hari,4Head Studios,Viva Media,69,49,0,"50,000 .. 100,000",122,0,122,0,199,999,80,0,"English, German, Italian, French",Adventure,"Adventure, Point & Click, Female Protagonist, World War I, Puzzle, Historical, Singleplayer"
884090,Idle Dungeons,ChimpLabs,ChimpLabs,67,152,0,"50,000 .. 100,000",0,0,0,0,0,0,0,1,English,"Action, Adventure, Casual, Free to Play, Indie, RPG, Strategy","Free to Play, Clicker, Indie, Action, Casual, RPG, Strategy, Adventure"
627670,Rocket Wars,Rooftop Panda,Rooftop Panda,45,4,0,"50,000 .. 100,000",458,0,458,0,49,99,51,1,"English, Danish, Russian, Bulgarian","Action, Indie","4 Player Local, Party Game, Local Multiplayer, Controller, 2D, Shoot 'Em Up, Arena Shooter, Top-Down Shooter, Arcade, Action, Shooter, Indie, Bullet Hell, Space, Split Screen, Singleplayer, PvP, Sci-fi, Local Co-Op, Minimalist"
580420,Tourists Kidnapped a Little Bear,Wojciech Krupinski,KrupinskiArt,63,20,0,"50,000 .. 100,000",224,0,258,0,99,99,0,1,English,"Action, Adventure, Casual, Indie","Gore, Indie, Action, Casual, Adventure"
687630,Epic Cards Battle 2 (TCG),momoStorm Entertainment,momoStorm Entertainment,68,45,0,"50,000 .. 100,000",0,0,0,0,0,0,0,1,"English, Simplified Chinese","Adventure, Casual, Free to Play, Strategy","Free to Play, Strategy, Casual, Adventure, Card Game, Nudity, Sexual Content"
530540,mr.President Prologue Episode,Sergey Domashenkin,Sergey Domashenkin,66,42,0,"50,000 .. 100,000",217,0,210,0,51,99,48,1,"English, Russian","Action, Indie, Simulation","Indie, Action, Simulation, Physics"
579720,Neverout,Gamedust,Gamedust,75,51,0,"50,000 .. 100,000",454,0,454,0,71,399,82,1,English,"Action, Adventure, Casual, Indie, Simulation","Adventure, Puzzle, VR, Mystery, Investigation, Atmospheric, Lovecraftian, Singleplayer, Indie, Horror, Physics, 3D, First-Person, Abstract, 6DOF, Controller, Female Protagonist, Dark, Time Manipulation, Psychological Horror"
2149870,Closer To Home,Cayden Bullock,Cayden Bullock,12,1,0,"50,000 .. 100,000",0,0,0,0,999,999,0,1,English,"Casual, Indie","Psychological Horror, Stylized, Dark Fantasy, Horror, Story Rich, Walking Simulator, Puzzle, 2D, Pixel Graphics, Casual, Top-Down, Comedy, Dark, Multiple Endings, Nonlinear, Open World, Singleplayer, Gore, Violent, Indie"
289840,Dracula 3: The Path of the Dragon,Microids,Microids,72,147,0,"50,000 .. 100,000",0,0,0,0,79,799,90,1,"English, French, Italian, German, Spanish - Spain, Russian","Adventure, Casual","Adventure, Casual, Point & Click, Vampire, Horror, Puzzle, Escape Room"
448710,VirZOOM Arcade,VirZOOM,VirZOOM,23,6,0,"50,000 .. 100,000",0,0,0,0,0,0,0,1,English,"Action, Adventure, Casual, Indie, Racing, Sports","Casual, Racing, Action, Adventure, Indie, Sports, VR, Multiplayer, Free to Play, VR Only"
589430,Killer Elite – Time to Die,Wioleta Moniuszko,WRGenesis,4,21,0,"50,000 .. 100,000",406,0,424,0,0,0,0,1,English,"Action, Indie, Massively Multiplayer","Action, Violent, Massively Multiplayer, Indie"
1576790,FPS Tactics,Hede,Hede,6,9,0,"50,000 .. 100,000",0,0,0,0,999,999,0,1,"English, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese","Action, Adventure, Indie, Simulation, Strategy","Exploration, Tactical RPG, 3D Platformer, Action RTS, Immersive Sim, Shoot 'Em Up, Hack and Slash, FPS, Tower Defense, Platformer, RTS, Strategy RPG, Strategy, Action RPG, 3D, First-Person, Military, Stealth, Investigation, Physics"
1477570,Gunspell 2 – Match 3 Puzzle RPG,Ino-Co Plus,AKPublish,49,48,0,"50,000 .. 100,000",0,0,0,0,0,0,0,1,"English, French, German, Spanish - Spain, Japanese, Russian","Adventure, Casual, Free to Play, Indie, RPG","Casual, RPG, Match 3, PvP, Action-Adventure, Story Rich, Multiplayer, Adventure, Singleplayer, Puzzle, Demons, Fantasy, Magic, Vampire, Werewolves, Zombies, Atmospheric, Hand-drawn, Dragons, Dark"
310810,Shiftlings,Rock Pocket Games,Sierra,71,26,0,"50,000 .. 100,000",110,0,133,0,0,0,0,1,"English, French, Italian, German, Spanish - Spain, Norwegian","Action, Adventure","Action, Adventure, Co-op, Puzzle-Platformer, Puzzle, Platformer, Comedy, Local Co-Op"
498030,Barnyard Mahjong 3,EnsenaSoft,EnsenaSoft,71,46,0,"50,000 .. 100,000",429,0,429,0,99,199,50,1,"English, French, Italian, German, Spanish - Spain, Dutch, Hungarian, Norwegian, Portuguese - Portugal, Swedish, Portuguese - Brazil",Casual,"Casual, Puzzle, Mahjong"
2001360,Mystical Riddles: Behind Doll’s Eyes Collector's Edition,Do Games Limited,Do Games Limited,1,1,0,"0 .. 20,000",0,0,0,0,1119,1399,20,1,English,"Adventure, Casual","Hidden Object, Interactive Fiction, Puzzle, Visual Novel, Point & Click, 2D, First-Person, Detective, Horror, Psychological Horror, Linear, Story Rich, Narration, Casual, Hand-drawn, Drama, Thriller, Dark Fantasy, Supernatural, Mystery"
332700,Mike was Сursed,Bogdan Sychkov,Raum Studio,60,28,0,"50,000 .. 100,000",266,0,278,0,119,1199,90,1,"English, Russian","Action, Adventure, Indie","Adventure, Action, Indie, Horror, VR"
320650,Season Match 2,URSE Games,ESDigital Games,59,38,0,"20,000 .. 50,000",212,0,212,0,39,399,90,1,"English, French, Italian, German, Spanish - Spain, Portuguese - Portugal, Russian, Swedish, Dutch","Adventure, Casual","Adventure, Casual, Match 3, Puzzle"
596810,Save Their Souls,KomBits Game Studio,KomBits Game Studio,51,12,0,"50,000 .. 100,000",257,0,257,0,49,99,51,1,"English, Portuguese - Brazil","Casual, Indie","Indie, Casual"
1353950,Ring of Fire: Prologue,"de Fault, Chard",Far Few Giants,9,2,0,"1,000,000 .. 2,000,000",0,0,0,0,0,0,0,0,English,"Adventure, Casual, Free to Play, Indie, Simulation","Villain Protagonist, Interactive Fiction, Story Rich, Detective, Puzzle, Mystery, Horror, Simulation, Visual Novel, Atmospheric, Comic Book, Exploration, Political, Noir, Point & Click, Female Protagonist, Sci-fi, Typing, Hidden Object, LGBTQ+"
1380400,Saving Grace,Thomas JC Ironmonger,Ironmonger Games,25,2,0,"1,000,000 .. 2,000,000",0,0,0,0,149,499,70,0,"English, French, Italian, German, Spanish - Spain, Czech, Polish, Russian, Swedish, Turkish","Action, Adventure, Indie, Strategy","Horror, FPS, Hack and Slash, Survival Horror, PvE, Sandbox, Exploration, Shooter, Survival, 3D, First-Person, Psychological Horror, Post-apocalyptic, Action, Story Rich, Swordplay, Multiple Endings, Conversation, Strategy, Dark Fantasy"
715210,The Pillage,Bishop Armstrong,Bishop Armstrong,48,7,0,"1,000,000 .. 2,000,000",66,0,69,0,299,299,0,0,English,"Action, Casual, Indie","Gore, Indie, Action, Casual, Nudity, Violent, Arcade, Hack and Slash"
575110,Magic Lantern,Parovoz Animation Studio,Interactive Moolt,24,3,0,"1,000,000 .. 2,000,000",235,0,274,0,0,0,0,0,"English, Russian","Adventure, Free to Play, Simulation","VR, Adventure, Simulation, Free to Play"
680780,DEATH TRAIN - Warning: Unsafe VR Experience,Nomad Assembly,Nomad Assembly,18,15,0,"1,000,000 .. 2,000,000",78,0,119,0,999,999,0,0,English,"Action, Indie","Action, Indie, VR"
1266680,Strobophagia | Rave Horror,Green Tile Digital,Green Tile Digital,50,14,0,"500,000 .. 1,000,000",0,0,0,0,1999,1999,0,0,English,"Adventure, Indie","Psychedelic, Adventure, Survival Horror, Choices Matter, Multiple Endings, Mystery, Psychological Horror, Atmospheric, Stylized, Colorful, 3D, Surreal, Horror, First-Person, Experimental, Exploration, Thriller, Mythology, Singleplayer, Puzzle"
1444740,Maniac Path,"Falco Software, Laush Dmitriy Sergeevich",Laush Studio,5,3,0,"500,000 .. 1,000,000",0,0,0,0,299,299,0,0,"English, Russian","Adventure, Indie, Simulation","Side Scroller, Spectacle fighter, Looter Shooter, Horror, Arena Shooter, Heist, Investigation, 2D Platformer, Wargame, Bullet Hell, Survival Horror, Top-Down Shooter, Character Action Game, Martial Arts, Driving, PvE, Perma Death, Fighting, Survival, Artificial Intelligence"
389460,Robot vs Birds Zombies,yfyx games,yfyx games,35,80,0,"500,000 .. 1,000,000",208,0,226,0,99,99,0,0,English,"Action, Casual, Indie, Simulation","Casual, Action, Indie, Simulation, Point & Click"
529920,Resurgence,Lightning Man Media,Lightning Man Media,13,8,0,"500,000 .. 1,000,000",253,0,254,0,199,199,0,0,English,"Adventure, Indie","Adventure, Indie"
1241110,ANARCHY,NewProjekt,NewProjekt,13,5,0,"500,000 .. 1,000,000",0,0,0,0,0,0,0,0,English,"Action, Adventure, Casual, Indie","Indie, FPS, Action, Shooter, Adventure, Combat, Fighting, First-Person, Action-Adventure, PvE, Wargame, Voxel, Casual, Rhythm, Hero Shooter, 3D, Colorful, Score Attack, Open World, Nonlinear"
1401750,Mission Z,"New Games Waves, Softwaves",Softwaves Dist.,14,7,0,"500,000 .. 1,000,000",0,0,0,0,524,1499,65,0,"English, French, German, Portuguese - Brazil","Action, Adventure, Casual, Indie, Strategy","Shooter, Realistic, Exploration, Historical, Investigation, Casual, 3D, Heist, Open World, PvE, Stealth, Survival, Action, Action-Adventure, First-Person, 3D Platformer, Stylized, Loot, Adventure, Tactical"
613010,Secret in Story,Luo Zhi En,Luo Zhi En,70,34,0,"500,000 .. 1,000,000",254,0,256,0,89,99,10,0,"English, Japanese, Simplified Chinese, Traditional Chinese","Adventure, Indie","Indie, Adventure, Visual Novel"
1407530,Warrior Beneath Heaven,Keyue Game Studio,Keyue Game Studio,5,2,0,"500,000 .. 1,000,000",0,0,0,0,359,599,40,0,"English, Simplified Chinese, Traditional Chinese","Action, Casual, Indie, RPG, Simulation","Action, Arcade, 3D Fighter, 3D, Swordplay, Casual, Martial Arts, Indie, Simulation, Singleplayer, Local Multiplayer, Fighting, 3D Platformer, Hack and Slash, Historical, LGBTQ+, PvP, Gore, RPG"
326960,Killing Floor - Toy Master,"David Hensley, Alex Quick",Tripwire Interactive,23,3,0,"500,000 .. 1,000,000",1,0,1,0,0,0,0,0,English,Action,"Free to Play, Horror, Multiplayer, Zombies, Action, Survival, FPS, Co-op, Mod, Shooter, First-Person, Gore, Singleplayer, Open World, Adventure, Online Co-Op, Sandbox, Funny, Survival Horror, Nudity"
1506630,Minicraft Shooter,Sweet Games,Sweet Games,2,8,0,"500,000 .. 1,000,000",0,0,0,0,99,99,0,0,English,"Action, Adventure, Casual, Indie, RPG, Simulation","Shooter, Voxel, Survival, RPG, Zombies, Top-Down Shooter, Cyberpunk, Casual, Adventure, Simulation, Action, Indie, On-Rails Shooter, Crafting, Survival Horror, Stylized, Atmospheric, Post-apocalyptic, Linear, Singleplayer"
1372640,Candle In Darkness,"Shub-Niggurath Games, ShopaLover",ShopaLover,6,1,0,"500,000 .. 1,000,000",0,0,0,0,499,499,0,0,English,"Adventure, Indie, Early Access","Early Access, Horror, Survival Horror, Atmospheric, Adventure, Runner, Story Rich, Gothic, Faith, Lovecraftian, Exploration, Hidden Object, Action-Adventure, Experimental, 3D, First-Person, Realistic, Demons, Drama, Conspiracy"
2063400,Descension,RedRock Game Studios,Brad Barber,2,1,0,"500,000 .. 1,000,000",0,0,0,0,499,499,0,0,English,"Action, Adventure, Strategy","Action, Adventure, Arcade, Shooter, Exploration, FPS, Looter Shooter, 3D, First-Person, Atmospheric, Dark, Horror, Dark Fantasy, Choices Matter, Combat, Multiple Endings, Open World, Strategy, Story Rich, Sandbox"
588140,ESCAPE FROM VOYNA: Dead Forest,Dead Turtle,Dead Turtle,0,1,0,"500,000 .. 1,000,000",0,0,0,0,349,699,50,0,English,"Action, Indie","Spectacle fighter, FPS, Bullet Hell, Open World, Fighting, Shooter, Experimental, Arcade, First-Person, Story Rich, Psychological Horror, Action, Zombies, Lovecraftian, Adventure, Singleplayer, Indie, Anime, Funny"
498320,Trolley Gold,Mantis Games,Displacement Studios,66,170,0,"200,000 .. 500,000",197,0,214,0,199,199,0,0,"English, Russian","Casual, Indie","Casual, Indie"
340840,The Corridor: On Behalf Of The Dead,Desktop Daydreams Studios,Desktop Daydreams Studios,23,7,0,"200,000 .. 500,000",0,0,0,0,149,1499,90,0,English,"Action, Adventure, Indie","Horror, Investigation, Mystery Dungeon, Survival Horror, Exploration, Hidden Object, Survival, Experimental, Action-Adventure, Silent Protagonist, 3D Vision, VR, First-Person, Detective, Lore-Rich, Transhumanism, Cold War, Cyberpunk, Mechs, Post-apocalyptic"
719310,King's Table - The Legend of Ragnarok,Imagitec,Ziggurat,3,7,0,"20,000 .. 50,000",0,0,0,0,324,499,35,0,English,"Simulation, Strategy","Simulation, Strategy, Board Game, 2D, Pixel Graphics, 1990's, Singleplayer, Chess, Action, Sports, Arcade, Tabletop, Exploration, Anime, Comedy, Funny, Old School, Retro, PvP, Multiplayer"
692530,Community Garden,Somnium Space Ltd.,Somnium Space Ltd.,2,8,0,"200,000 .. 500,000",170,0,220,0,999,999,0,0,English,"Indie, Massively Multiplayer, Simulation, Early Access","Early Access, Massively Multiplayer, Indie, Simulation, VR, VR Only"
528670,Elems,Fifth Dimension Company,Fifth Dimension Company,15,10,0,"200,000 .. 500,000",319,0,320,0,49,99,51,0,"English, Russian","Casual, Indie","Indie, Casual"
1557060,Wonhon: Prologue,BUSAN SANAI GAMES,SuperGG.com,42,9,0,"200,000 .. 500,000",7,0,7,0,0,0,0,0,"English, Korean, French, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese","Action, Adventure, Indie","Action, Stealth, Horror, Atmospheric, Female Protagonist, Psychological Horror, Singleplayer, Drama, Military, Comic Book, PvE, Top-Down Shooter, 3D, Stylized, Top-Down, Alternate History, Dog, Tactical RPG, Foreign, Emotional"
1373500,Mist of the Undead,"Hayden, Rothman","Hayden , Rothman",11,14,0,"200,000 .. 500,000",0,0,0,0,0,0,0,0,English,"Action, Casual, Free to Play, Indie, RPG","Singleplayer, Zombies, Survival, First-Person, FPS, Casual, Shoot 'Em Up, Physics, PvE, Arcade, Horror, Survival Horror, Tutorial, RPG, Action RPG, Realistic, Cinematic, Supernatural, Music, Free to Play"
908500,crazy maze ~疯狂迷宫 ~ 狂った迷路 ~ Laberinto loco ~ Labyrinthe fou ~ Verrücktes Labyrinth,liuguowang,liuguowang,13,11,0,"200,000 .. 500,000",0,0,0,0,0,0,0,0,"English, Spanish - Spain, Simplified Chinese, Russian, French, Italian, German, Spanish - Latin America, Ukrainian, Turkish, Japanese, Polish, Thai, Swedish, Traditional Chinese, Portuguese - Portugal, Portuguese - Brazil, Vietnamese, Arabic, Korean","Adventure, Casual, Indie, Strategy","Casual, Indie, Strategy, Adventure"
1758910,Time Commando,[2.21],[2.21],35,1,0,"200,000 .. 500,000",0,0,0,0,299,599,50,0,English,Action,"Beat 'em up, Combat, 1990's, Side Scroller, Martial Arts, 2.5D, Historical, Swordplay, Action, World War I, Rome, Western, Pirates, Ninja, Sci-fi, World War II, Medieval, War, Futuristic, Singleplayer"
1568440,Sands of Fire,Three-Sixty Pacific,Ziggurat,1,0,0,"200,000 .. 500,000",0,0,0,0,349,699,50,0,English,"Action, Simulation, Strategy","Simulation, Tanks, Wargame, World War II, Pixel Graphics, Retro, Old School, Military, Action, Historical, Tactical, Combat, War, Strategy, Shooter, First-Person, Top-Down, 1990's, Singleplayer"
831450,Kolb Antarctica Experience,Devika,Devika,6,5,0,"200,000 .. 500,000",136,0,178,0,299,299,0,0,English,"Adventure, Simulation","Adventure, Simulation, VR, VR Only"
576120,Purgatory II,"New Reality Games, Eduard Mirica",New Reality Games,11,20,0,"200,000 .. 500,000",262,0,258,0,99,199,50,0,English,"Adventure, Indie, Strategy","Indie, Strategy, Adventure, Fantasy, Pixel Graphics, RPG"
1098540,Monsters sandbox,xFAIRx,xFAIRx,13,5,0,"200,000 .. 500,000",0,0,0,0,99,99,0,0,"English, Russian","Action, Indie, Massively Multiplayer","Arena Shooter, Hack and Slash, Zombies, Aliens, Gore, Multiplayer, Online Co-Op, Co-op, PvP, PvE, Shooter, Action, Indie, Sandbox, First-Person, Singleplayer, 3D, Massively Multiplayer, Violent, Survival"
2084030,Pitch Black: A Dusklight Story - Episode One,"Purple Jam, Harry Cooper, Connor Harrison, Jordan Barry",Purple Jam Ltd,4,1,0,"200,000 .. 500,000",0,0,0,0,599,599,0,0,English,Adventure,"Adventure, Exploration, Post-apocalyptic, Mystery, Dark Comedy, Story Rich, Choices Matter, Atmospheric, Simulation, Puzzle, Dark Humor, Dystopian , Dark, Combat, Psychological, Investigation, Interactive Fiction, Politics, Psychedelic, Multiple Endings"
587790,Deadly Animal Duel,Night Animals,New Reality Games,9,36,0,"200,000 .. 500,000",312,0,312,0,99,199,50,0,English,"Action, Casual","Action, Casual"
1002970,Freefall 3050AD,Total ArKade Software,TAKS,14,4,0,"200,000 .. 500,000",0,0,0,0,299,299,0,0,English,Action,"FPS, Action, Shooter, First-Person"
1427150,The Episodic,Redwoods Digital Games,Redwoods Digital Games,2,7,0,"200,000 .. 500,000",0,0,0,0,0,0,0,0,English,"Action, Adventure, Indie","Action, Adventure, Experimental, Action-Adventure, Exploration, Open World, Survival, Third-Person Shooter, 3D, 3D Vision, Cinematic, Realistic, Third Person, Atmospheric, Conspiracy, Dark, Destruction, Investigation, Mars, Mechs"
1495250,LineVox,Piece Of Voxel,Piece Of Voxel,11,9,0,"200,000 .. 500,000",0,0,0,0,999,999,0,0,"English, Russian","Casual, Indie, Massively Multiplayer, Racing","Casual, Cyberpunk, Arcade, Space Sim, Flight, 3D, Voxel, Split Screen, Stylized, Colorful, Atmospheric, Futuristic, Family Friendly, Space, Singleplayer, PvP, Multiplayer, PvE, Racing, Local Multiplayer"
752060,Subwar 2050,Particle Systems Ltd.,Interplay,2,0,0,"200,000 .. 500,000",0,0,0,0,799,999,20,0,English,"Action, Simulation, Strategy","Action, Simulation, Strategy, Underwater, 1990's, Singleplayer, FPS, Sci-fi, Submarine, Adventure, Shooter, Exploration, War, Atmospheric, 6DOF, Vehicular Combat, 3D, Realistic, Naval, Remake"
512640,Final Quest,RPG Video,Back To Basics Gaming,67,99,0,"200,000 .. 500,000",214,0,224,0,99,199,50,0,English,"Indie, RPG","Indie, RPG, RPGMaker"
447920,Drift (Over) Drive,Retraissance,New Reality Games,20,24,0,"200,000 .. 500,000",248,0,257,0,99,199,50,0,English,"Indie, Racing","Racing, Indie"
610670,Alchemyland,azimuth team,azimuth team,60,79,0,"200,000 .. 500,000",421,0,430,0,51,99,48,0,English,"Adventure, Casual, Indie, RPG, Early Access","Early Access, Indie, Adventure, Casual, RPG"
1393960,Battle Command,Ocean Software,Pixel Games UK,2,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0,"English, French, German","Action, Simulation, Strategy","Tanks, War, Military, Simulation, Vehicular Combat, FPS, 3D, Shoot 'Em Up, Wargame, Automobile Sim, Shooter, Strategy, Arcade, First-Person, Third Person, Action, Alternate History, Pixel Graphics, Offroad, Flight"
1183840,Dungeon of Rikka,Poorly Drawn Squid,Poorly Drawn Squid,22,3,0,"200,000 .. 500,000",0,0,0,0,499,499,0,0,English,"Adventure, Indie, RPG, Strategy","Traditional Roguelike, Turn-Based Tactics, Rogue-lite, Dungeon Crawler, Perma Death, Turn-Based, Turn-Based Strategy, Rogue-like, RPG, 2D, Top-Down, Procedural Generation, Turn-Based Combat, Cartoony, Medieval, Adventure, Old School, Inventory Management, Singleplayer, Indie"
580910,idleBeer,Victor Corradi,Corradi Games,16,37,0,"200,000 .. 500,000",322,0,336,0,0,0,0,0,English,"Casual, Indie, Simulation","Casual, Indie, Simulation, Clicker"
427930,Army of Tentacles: (Not) A Cthulhu Dating Sim,Stegalosaurus Game Development,Stegalosaurus Game Development,46,38,0,"0 .. 20,000",247,0,267,0,499,499,0,0,English,"Adventure, Casual, Indie, RPG","Lore-Rich, Party-Based RPG, Horror, Lovecraftian, Supernatural, Visual Novel, Female Protagonist, Action-Adventure, RPG, Cute, Funny, Time Management, Turn-Based Tactics, CRPG, Conversation, Minimalist, Cartoony, Colorful, Abstract, Fantasy"
1340020,Aster Fpv Drone Simulator,Emmanuel Perrillon,Emmanuel Perrillon,8,4,0,"200,000 .. 500,000",0,0,0,0,899,1999,55,0,"English, French","Action, Massively Multiplayer, Racing, Simulation, Sports","Simulation, Sports, Flight, Physics, First-Person, Multiplayer, Combat Racing, Immersive Sim, Racing, 3D, Fighting, Open World, FPS, Vehicular Combat, Shooter, Twin Stick Shooter, Score Attack, Combat, 3D Fighter, Massively Multiplayer"
945490,Little Square Things,G.Reed,Young Studio,51,9,0,"200,000 .. 500,000",0,0,0,0,0,0,0,0,English,"Indie, Strategy","Early Access, Indie, Strategy, Puzzle, Sokoban, Retro, Free to Play, Turn-Based, Family Friendly"
1399760,Randomlands,Atahan Öztürk,Atahan Öztürk,3,3,0,"200,000 .. 500,000",0,0,0,0,99,99,0,0,"English, Turkish","Action, Indie","Action, Shooter, FPS, Looter Shooter, Rogue-lite, 3D, First-Person, Destruction, Aliens, Capitalism, Comedy, Conspiracy, Physics, Military, Transhumanism, Sci-fi, Combat, Perma Death, Singleplayer, Artificial Intelligence"
2206450,Dwarfer,Sujiko,GigantGame-A,12,0,0,"100,000 .. 200,000",0,0,0,0,3499,3499,0,0,English,Indie,"Turn-Based Tactics, Puzzle-Platformer, Dungeon Crawler, Hidden Object, Puzzle, Turn-Based, RPG, 2D, Choices Matter, Indie, Turn-Based Combat, Pixel Graphics, Logic, Singleplayer"
1358880,Liberated: Free Trial,"Atomic Wolf, L.INC",Walkabout,11,2,0,"200,000 .. 500,000",0,0,0,0,0,0,0,0,"English, French, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese","Action, Adventure, Indie","Action-Adventure, Comic Book, Hand-drawn, Shooter, Dystopian , Noir, Hacking, Cyberpunk, Side Scroller, Platformer, Third-Person Shooter, Bullet Hell, 2.5D, Stylized, Adventure, Third Person, 3D Platformer, Dark, Dynamic Narration, 2D"
1230570,Shotgun n  Zombies,Brandtner,Brandtner,4,4,0,"200,000 .. 500,000",0,0,0,0,199,199,0,0,English,"Action, Indie","Zombies, Blood, Gore, Indie, FPS, Arena Shooter, First-Person, Action, Violent, Shooter, 3D, Realistic, Combat, Singleplayer, PvE, Online Co-Op, Co-op, Multiplayer"
1368620,Healing Movement,Kevin Wacknov,Mind Body Aware Games LLC,4,1,0,"200,000 .. 500,000",0,0,0,0,0,0,0,0,English,"Casual, Free to Play, Simulation","Casual, Singleplayer, Simulation, Experimental, Choices Matter, 3D, Exploration, Free to Play, Cartoon, First-Person, 1980s, Conspiracy"
717720,Cyberia 2: Resurrection,Xatrix Entertainment,Interplay,9,1,0,"0 .. 20,000",0,0,0,0,799,999,20,0,English,"Action, Adventure, Strategy","Action, Adventure, Strategy, First-Person, Sci-fi, On-Rails Shooter, Cyberpunk, 1990's, Simulation, Puzzle, Shooter, FPS, Exploration, Cinematic, Futuristic, Combat, Singleplayer, Indie, Sequel, Flight"
719300,Daemonsgate,Imagitec,Ziggurat,3,10,0,"200,000 .. 500,000",13,0,13,0,349,699,50,0,English,"Action, Adventure, RPG","RPG, Retro, Action, Adventure, 2D, Pixel Graphics, Top-Down, Horror, Fantasy, Old School, Magic, 1990's, Psychological Horror, Singleplayer, Open World, Action RPG, Action-Adventure, Interactive Fiction, Strategy RPG, CRPG"
513590,So Many Cubes,exagongames,NewRealityGames,45,104,0,"200,000 .. 500,000",247,0,269,0,99,199,50,0,English,"Action, Casual, Strategy, Early Access","Early Access, Casual, Strategy, Action"
1944520,S E V E R A N C E,Polybit_Game,Polybit_Game,1,4,0,"200,000 .. 500,000",0,0,0,0,199,199,0,0,English,RPG,"RPG, JRPG, Party-Based RPG, Turn-Based Tactics, Dungeon Crawler, Tactical RPG, 2D, Pixel Graphics, Top-Down, Cyberpunk, Dark, Dystopian , Fantasy, Futuristic, Old School, Post-apocalyptic, Retro, Sci-fi, Story Rich, Linear"
349460,Lord of the Dark Castle,Craze Creative Studios,Trinity Project,43,19,0,"200,000 .. 500,000",16,0,16,0,49,99,51,0,English,"Action, Adventure, Casual, Free to Play, Indie, RPG, Strategy","RPG, Turn-Based, Action, Dungeon Crawler, Strategy, Casual, Adventure, Indie, Rogue-like, Point & Click, Turn-Based Strategy, Strategy RPG, Exploration, CRPG, Turn-Based Tactics, 2D, Top-Down, Fantasy, Atmospheric, Gothic"
783140,Removed,,Slitherine Ltd.,25,16,0,"200,000 .. 500,000",66,0,59,0,0,0,0,0,"English, Not supported",,"Simulation, Action, Indie"
2192640,The Iron Union,Horn of the sea,Horn of the sea,1,0,0,"200,000 .. 500,000",0,0,0,0,199,199,0,0,"English, Japanese, Simplified Chinese","Action, Adventure, Casual, Indie, Simulation, Early Access","Early Access, Adventure, Shooter, Arcade, 3D Platformer, Top-Down Shooter, Twin Stick Shooter, Bullet Hell, 3D Vision, Top-Down, Cartoony, Realistic, Stylized, 1990's, World War II, Military, Tanks, Relaxing, Driving, Combat"
575690,PARKAN: THE IMPERIAL CHRONICLES,GameXP.com,GameXP.com,35,7,0,"200,000 .. 500,000",0,0,0,0,149,299,50,0,"English, Russian","Adventure, RPG, Simulation, Strategy","Adventure, RPG, Simulation, Strategy, Space Sim, Space, Singleplayer, Action, Action-Adventure, Action RPG, CRPG, FPS, First-Person, 3D, Futuristic, 1990's, Atmospheric, Old School, Combat, Story Rich"
