appid,name,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,languages,genres,tags
7600,Sid Meier's Railroads!,"Firaxis Games, Feral Interactive (Mac)","2K, Feral Interactive (Mac)",1704,743,"10,000,000 - 20,000,000",141,1,147,1,9.99,105,"English, French, German, Italian, Spanish - Spain",Strategy,"Strategy, Trains, Management, Economy, Simulation, Singleplayer, Multiplayer, Real-Time with Pause, Casual, Classic, Building, Historical"
7650,X-COM: Terror From the Deep,"MicroProse Software, Inc",2K,596,55,"10,000,000 - 20,000,000",78,0,79,0,9.99,17,"English, French, German, Spanish - Spain",Strategy,"Strategy, Turn-Based, Turn-Based Strategy, Sci-fi, Classic, Tactical, Aliens, Underwater, Turn-Based Tactics, Difficult, Lovecraftian, Isometric, Horror, Singleplayer, Old School, Management, Base-Building, Retro, 1990's"
7660,X-COM: Apocalypse,"MicroProse Software, Inc",2K,618,78,"10,000,000 - 20,000,000",170,0,279,0,9.99,9,English,Strategy,"Strategy, Turn-Based, Tactical, Sci-fi, Aliens, Classic, Real-Time with Pause, Turn-Based Strategy, Isometric, Singleplayer, Cyberpunk, Post-apocalyptic, Base-Building, Turn-Based Tactics, Atmospheric, Retro, Management, RTS"
7670,BioShock,"2K Boston, 2K Australia",2K,25155,1471,"10,000,000 - 20,000,000",388,0,190,0,9.99,57,"English, French, German, Italian, Spanish - Spain","Action, RPG","FPS, Atmospheric, Story Rich, Action, Singleplayer, Horror, Steampunk, First-Person, Shooter, Sci-fi, RPG, Classic, Adventure, Dystopian , Underwater, Immersive, Dark, Political, Great Soundtrack, Alternate History"
7760,X-COM: UFO Defense,"MicroProse Software, Inc",2K,2918,168,"10,000,000 - 20,000,000",94,0,45,0,9.99,38,English,Strategy,"Strategy, Classic, Turn-Based Strategy, Sci-fi, Turn-Based, Aliens, Tactical, Singleplayer, Turn-Based Tactics, Difficult, Old School, Isometric, Unforgiving, Base-Building, Addictive, Simulation, 1990's, Retro, Atmospheric, Action"
7830,Men of War,Best Way,"1C Entertainment, 1C-SoftClub",2387,294,"10,000,000 - 20,000,000",665,0,305,0,9.99,47,"English, Russian, French, Italian, Spanish - Spain, German",Strategy,"Strategy, World War II, RTS, Tactical, Multiplayer, Military, Real Time Tactics, Realistic, War, Action, Co-op, Moddable, Simulation, Singleplayer, Historical, Level Editor, Mod, Shooter, Real-Time, FPS"
7940,Call of Duty 4: Modern Warfare,Infinity Ward,Activision,15035,1134,"10,000,000 - 20,000,000",912,10,472,10,9.99,517,"English, French, German, Italian, Spanish - Spain",Action,"FPS, Action, Multiplayer, Shooter, First-Person, Singleplayer, Classic, Military, War, PvP, Great Soundtrack, Linear, Modern, Co-op, Story Rich, Atmospheric, Moddable, Controller, Competitive, Zombies"
8000,Tomb Raider: Anniversary,Crystal Dynamics,Square Enix,3845,812,"10,000,000 - 20,000,000",215,0,102,0,9.99,34,"English, French, German, Italian, Spanish - Spain","Action, Adventure","Action, Adventure, Female Protagonist, Puzzle, Third Person, Platformer, Remake, Singleplayer, Classic, Action-Adventure, Dinosaurs, Third-Person Shooter, Exploration, Parkour, Shooter, 3D Platformer, Story Rich, 3D Vision, Multiplayer, Atmospheric"
8080,Kane and Lynch: Dead Men,IO Interactive,Square Enix,1894,1098,"10,000,000 - 20,000,000",152,0,192,0,9.99,4,"English, French, German, Italian, Spanish - Spain",Action,"Action, Crime, Third-Person Shooter, Shooter, Co-op, Local Co-Op, Third Person, Story Rich, Violent, Atmospheric, Heist, Split Screen, Multiplayer, Singleplayer, Controller, Adventure, Mature, Open World"
8140,Tomb Raider: Underworld,Crystal Dynamics,Square Enix,3437,1076,"10,000,000 - 20,000,000",372,0,133,0,9.99,37,"English, French, Italian, German, Spanish - Spain","Action, Adventure","Adventure, Action, Female Protagonist, Third Person, Puzzle, Singleplayer, Platformer, Action-Adventure, Shooter, Exploration, Parkour, Third-Person Shooter, Atmospheric, Underwater, Classic, 3D Vision, 3D Platformer, Open World, Multiplayer, Story Rich"
