appid,name,developer,publisher,positive_reviews,negative_reviews,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,ccu,languages,genres,tags
236870,HITMAN,"IO Interactive A/S, Feral Interactive (Linux), Feral Interactive (Mac)","IO Interactive A/S, Feral Interactive (Linux), Feral Interactive (Mac)",28687,6095,"10,000,000 - 20,000,000",913,27,419,27,9.99,262,"English, French, Italian, German, Spanish - Spain, Polish, Russian, Portuguese - Brazil, Simplified Chinese, Japanese",Action,"Stealth, Action, Assassin, Third Person, Singleplayer, Tactical, Shooter, Open World, Atmospheric, Crime, Sandbox, Strategy, Story Rich, Episodic, Third-Person Shooter, Great Soundtrack, Adventure, Heist, Illuminati, Nudity"
237110,Mortal Kombat Komplete Edition,"NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment,15539,1536,"10,000,000 - 20,000,000",9265,46,236,46,9.99,61,"English, German, French, Italian, Spanish - Spain, Portuguese - Brazil",Action,"Fighting, Gore, Action, Violent, Multiplayer, Classic, Blood, Co-op, Arcade, Singleplayer, 2D Fighter, Competitive, Local Multiplayer, Local Co-Op, Replay Value, 2.5D, Remake, Beat 'em up, 2D, Controller"
237310,Elsword,KOG,KOG Games,6451,2133,"10,000,000 - 20,000,000",562,0,154,0,9.99,450,"English, Portuguese - Brazil, Thai","Action, Adventure, Casual, Free to Play, Massively Multiplayer, RPG","Free to Play, Anime, RPG, Action, Massively Multiplayer, MMORPG, Adventure, Fighting, Multiplayer, Side Scroller, PvP, Online Co-Op, 2D, Hack and Slash, Casual, Cute, Fantasy, Co-op, Platformer, Beat 'em up"
237930,Transistor,Supergiant Games,Supergiant Games,26520,1541,"10,000,000 - 20,000,000",294,0,211,0,9.99,27,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Japanese, Simplified Chinese","Action, Indie, RPG","Great Soundtrack, Female Protagonist, Indie, Cyberpunk, Story Rich, Sci-fi, Action RPG, Singleplayer, RPG, Beautiful, Isometric, Atmospheric, Action, Narration, Strategy, Tactical, Adventure, Turn-Based, Short, Hack and Slash"
237990,The Banner Saga,Stoic,Versus Evil,12433,1502,"10,000,000 - 20,000,000",309,0,253,0,9.99,47,"English, French, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Italian, Japanese, Korean, Czech, Simplified Chinese","Indie, RPG, Strategy","RPG, Turn-Based, Strategy, Indie, Tactical, Turn-Based Strategy, Story Rich, Fantasy, Great Soundtrack, Kickstarter, Tactical RPG, Choices Matter, Hand-drawn, Atmospheric, Singleplayer, 2D, Crowdfunded, Strategy RPG, Adventure, Touch-Friendly"
238010,Deus Ex: Human Revolution - Director's Cut,Eidos Montreal,Square Enix,21388,1818,"10,000,000 - 20,000,000",1039,153,351,153,9.99,233,"English, French, Italian, German, Spanish - Spain","Action, RPG","Cyberpunk, Stealth, RPG, Sci-fi, FPS, Action, Singleplayer, Story Rich, Great Soundtrack, Transhumanism, Dystopian , First-Person, Atmospheric, Adventure, Inventory Management, Immersive, Shooter, Futuristic, Immersive Sim, Replay Value"
238090,Sniper Elite 3,Rebellion,Rebellion,17982,4023,"10,000,000 - 20,000,000",642,0,335,0,9.99,276,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Czech, Japanese, Korean, Simplified Chinese, Traditional Chinese","Action, Adventure","Sniper, Action, Stealth, Co-op, Multiplayer, World War II, Shooter, Adventure, Third-Person Shooter, Tactical, War, Third Person, Singleplayer, Online Co-Op, Open World, Gore, Strategy, FPS, Atmospheric, Simulation"
238210,System Shock 2,"Irrational Games, Looking Glass Studios",Nightdive Studios,5723,335,"10,000,000 - 20,000,000",309,0,110,0,9.99,20,"English, German","Action, RPG","Cyberpunk, RPG, Horror, Sci-fi, Classic, FPS, Survival Horror, Cult Classic, Action, Immersive Sim, Space, First-Person, Story Rich, Atmospheric, Great Soundtrack, Singleplayer, Co-op, Inventory Management, Shooter, Survival"
238260,Pinball Arcade,FarSight Studios,FarSight Studios,2628,973,"10,000,000 - 20,000,000",799,0,141,0,9.99,32,"English, French, Italian, German, Spanish - Spain","Free to Play, Simulation","Pinball, Simulation, Free to Play, Arcade, Classic, Casual, Singleplayer, Multiplayer, Retro, Action, 1980s"
238320,Outlast,Red Barrels,Red Barrels,76242,3005,"10,000,000 - 20,000,000",286,40,165,40,9.99,261,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Portuguese - Brazil, Japanese","Action, Adventure, Indie","Horror, First-Person, Survival Horror, Atmospheric, Gore, Survival, Psychological Horror, Singleplayer, Adventure, Action, Dark, Indie, Stealth, Nudity, Parkour, Difficult, Multiplayer, Walking Simulator, 3D Vision, Sci-fi"
238370,Magicka 2,Pieces Interactive,Paradox Interactive,8393,1843,"10,000,000 - 20,000,000",366,200,244,200,9.99,42,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian","Action, Adventure","Magic, Co-op, Adventure, Comedy, Multiplayer, Action, Online Co-Op, Funny, Local Co-Op, RPG, Atmospheric, Team-Based, PvP, Open World, Fantasy, Local Multiplayer, Singleplayer, Memes, Gore, Isometric"
238430,Contagion,"Monochrome, Inc","Monochrome, Inc",10264,4005,"10,000,000 - 20,000,000",345,0,162,0,9.99,29,"English, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Korean, Turkish, Italian, Russian","Action, Adventure, Indie","Zombies, Co-op, Horror, Level Editor, Moddable, FPS, PvE, Post-apocalyptic, PvP, First-Person, Survival Horror, Shooter, Competitive, Survival, Split Screen, 3D, Action, Atmospheric, Local Co-Op, Local Multiplayer"
238460,BattleBlock Theater,The Behemoth,The Behemoth,61674,1742,"10,000,000 - 20,000,000",584,41,304,41,9.99,289,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Russian","Action, Adventure, Casual, Indie","Comedy, Co-op, Funny, Platformer, Multiplayer, Local Co-Op, Adventure, Indie, 2D, Action, Great Soundtrack, Online Co-Op, Cats, Casual, Puzzle, Level Editor, Local Multiplayer, Singleplayer, Difficult, Team-Based"
238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,159595,16053,"10,000,000 - 20,000,000",5165,631,299,615,9.99,17207,"English, Portuguese - Brazil, Russian, Thai, French, German, Spanish - Spain","Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG","Free to Play, Action RPG, Hack and Slash, RPG, Multiplayer, Loot, Massively Multiplayer, Dungeon Crawler, Character Customization, Inventory Management, MMORPG, Action, Fantasy, Adventure, Singleplayer, Isometric, Online Co-Op, PvP, Horror, Point & Click"
239030,"Papers, Please",Lucas Pope,3909,46124,1487,"10,000,000 - 20,000,000",427,150,249,150,9.99,315,"English, French, German, Spanish - Spain, Portuguese - Brazil, Russian, Italian, Japanese, Polish","Adventure, Indie","Indie, Political, Simulation, Singleplayer, Point & Click, Dystopian , Pixel Graphics, Puzzle, Multiple Endings, Retro, Story Rich, Atmospheric, 2D, Great Soundtrack, Addictive, Strategy, Casual, Replay Value, Adventure, Difficult"
239070,Hammerwatch,Crackshell,Crackshell,5535,624,"10,000,000 - 20,000,000",346,0,183,0,9.99,18,English,"Action, Adventure, Indie, RPG","Dungeon Crawler, Indie, RPG, Co-op, Pixel Graphics, Action, Local Co-Op, Online Co-Op, Adventure, Hack and Slash, Retro, Fantasy, Multiplayer, 2D, 4 Player Local, Top-Down, Singleplayer, Local Multiplayer, Rogue-like, Level Editor"
239140,Dying Light,Techland,Techland,277179,14212,"10,000,000 - 20,000,000",2750,572,1340,369,9.99,14951,"English, French, Italian, German, Spanish - Spain, Dutch, Polish, Portuguese - Brazil, Russian, Korean, Simplified Chinese, Spanish - Latin America, Japanese, Thai, Traditional Chinese, Turkish, Czech","Action, RPG","Zombies, Survival Horror, Horror, Online Co-Op, Open World, Parkour, First-Person, Open World Survival Craft, Survival, Action, FPS, Gore, PvE, PvP, Stealth, Post-apocalyptic, Story Rich, Hack and Slash, Action RPG, RPG"
239160,Thief,"Eidos-Montréal, Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)",15132,5367,"10,000,000 - 20,000,000",762,0,398,0,9.99,140,"English, German, French, Italian, Spanish - Spain, Polish, Russian, Czech","Action, Adventure","Stealth, Action, Adventure, First-Person, Singleplayer, Dark, Reboot, Steampunk, Atmospheric, Horror, Parkour, Open World, Assassin, Heist, Medieval, RPG, Nudity, FPS, Fantasy, Strategy"
239200,Amnesia: A Machine for Pigs,The Chinese Room,Frictional Games,6211,2811,"10,000,000 - 20,000,000",172,0,72,0,9.99,14,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Polish, Portuguese - Brazil, Russian","Action, Adventure, Indie","Walking Simulator, Horror, Atmospheric, Story Rich, First-Person, Exploration, Psychological Horror, Mystery, Interactive Fiction, Adventure, Singleplayer, Indie, Survival Horror, Narration, Dark, Short, Lovecraftian, Action, Puzzle, Linear"
239350,Spelunky,Mossmouth,Mossmouth,13395,1111,"10,000,000 - 20,000,000",1101,0,279,0,9.99,92,"English, French, Italian, German, Spanish - Spain, Japanese",Indie,"Action Roguelike, Rogue-like, Platformer, Indie, Difficult, 2D, Local Co-Op, Replay Value, Procedural Generation, Addictive, Rogue-lite, Action, Perma Death, Singleplayer, Adventure, Co-op, Local Multiplayer, Controller, Great Soundtrack, Side Scroller"
239430,Q.U.B.E: Director's Cut,Toxic Games,Toxic Games,1410,277,"10,000,000 - 20,000,000",105,0,128,0,9.99,2,English,"Action, Adventure, Indie","Puzzle, Indie, First-Person, Adventure, Action, Sci-fi, Singleplayer, Physics, Space, Platformer, Atmospheric, Science, 3D, Soundtrack, Strategy, Classic, Difficult, Puzzle-Platformer"
239660,Soldier Front 2,Dragonfly,Aeria Games,1585,419,"10,000,000 - 20,000,000",202,0,390,0,9.99,0,English,"Action, Free to Play","Free to Play, Action, FPS, Multiplayer, Shooter, Singleplayer, Massively Multiplayer, First-Person, Open World"
239820,Game Dev Tycoon,Greenheart Games,Greenheart Games,34126,1657,"10,000,000 - 20,000,000",855,0,540,0,9.99,162,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Dutch, Greek, Hungarian, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Turkish, Ukrainian","Casual, Indie, Simulation, Strategy","Simulation, Management, Indie, Strategy, Casual, Singleplayer, Economy, 2D, Moddable, Addictive, Replay Value, Sandbox, GameMaker, Funny, Difficult, Point & Click, Great Soundtrack, Comedy, Touch-Friendly, Isometric"
240320,Panzar,Panzar Studio,OVALIS INVESTMENTS LIMITED,3271,1733,"10,000,000 - 20,000,000",482,0,200,0,9.99,28,"English, French, German, Spanish - Spain, Russian, Polish, Simplified Chinese","Action, Free to Play, Massively Multiplayer, RPG","Free to Play, Action, Multiplayer, Massively Multiplayer, RPG, PvP, Fantasy, Third Person, MOBA, Co-op, MMORPG, Gore, PvE, Open World, Survival, Crafting, Adventure, Nudity, Action RPG, Horror"
240720,Getting Over It with Bennett Foddy,Bennett Foddy,Bennett Foddy,34133,7179,"10,000,000 - 20,000,000",309,24,114,47,9.99,376,"English, Japanese, Russian, Korean, Simplified Chinese",Action,"Psychological Horror, Difficult, Singleplayer, Physics, Funny, Horror, Indie, Platformer, Philosophical, Casual, Survival Horror, Action, Adventure, Dark Humor, Replay Value, Comedy, Strategy, Story Rich, Great Soundtrack, Third Person"
240760,Wasteland 2: Director's Cut,inXile Entertainment,inXile Entertainment,6540,1392,"10,000,000 - 20,000,000",1036,0,1292,0,9.99,13,"English, French, German, Spanish - Spain, Polish, Russian, Italian, Turkish","Adventure, Indie, RPG, Strategy","RPG, Post-apocalyptic, Turn-Based, Strategy, Tactical, Adventure, Isometric, CRPG, Singleplayer, Kickstarter, Open World, Indie, Turn-Based Strategy, Sci-fi, Survival, Crowdfunded, Atmospheric, Exploration, Old School, Action RPG"
241540,State of Decay,Undead Labs,Xbox Game Studios,14934,2737,"10,000,000 - 20,000,000",1039,0,822,0,9.99,9,"English, French, Italian, German, Spanish - Spain, Russian","Action, RPG, Simulation","Zombies, Survival, Open World, Action, Post-apocalyptic, RPG, Third Person, Base-Building, Singleplayer, Sandbox, Simulation, Multiplayer, Exploration, Adventure, Horror, Third-Person Shooter, Survival Horror, Atmospheric, Co-op, Indie"
241560,The Crew,Ivory Tower in collaboration with Ubisoft Reflections,Ubisoft,10276,4676,"10,000,000 - 20,000,000",2441,0,1611,0,9.99,27,"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Japanese, Norwegian, Polish, Portuguese - Brazil, Russian, Swedish","Action, Massively Multiplayer, Racing","Racing, Open World, Multiplayer, Driving, Co-op, Massively Multiplayer, Automobile Sim, America, Offroad, Action, Online Co-Op, Atmospheric, Arcade, Simulation, Singleplayer, First-Person, Sandbox, Great Soundtrack, Team-Based, RPG"
241600,Rogue Legacy,Cellar Door Games,Cellar Door Games,16073,1129,"10,000,000 - 20,000,000",846,79,375,79,9.99,74,"English, French, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese","Action, Adventure, Indie, RPG","Roguevania, Platformer, Rogue-like, Action Roguelike, Indie, Action, 2D, Rogue-lite, Singleplayer, Metroidvania, RPG, Pixel Graphics, Side Scroller, Fantasy, Controller, Addictive, Adventure, Medieval, Exploration, Difficult"
241910,Goodbye Deponia,Daedalic Entertainment,Daedalic Entertainment,1704,210,"10,000,000 - 20,000,000",1292,0,493,0,9.99,13,"English, German, Russian, French, Polish, Italian, Spanish - Spain","Adventure, Indie","Adventure, Point & Click, Comedy, Singleplayer, Indie, Puzzle, Funny, Story Rich, Hand-drawn, Classic, 2D, Great Soundtrack, Cult Classic, Retro, Steampunk, 1990's"
241930,Middle-earth: Shadow of Mordor,Monolith Productions,"Warner Bros. Interactive Entertainment, Warner Bros. Games",66678,5602,"10,000,000 - 20,000,000",1144,320,850,610,9.99,667,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian",,"Open World, Action, Fantasy, Adventure, Third Person, Stealth, Singleplayer, RPG, Action RPG, Assassin, Hack and Slash, Gore, Parkour, Story Rich, Atmospheric, Magic, Dark Fantasy, Lore-Rich, Based On A Novel, Sandbox"
242050,Assassin’s Creed IV Black Flag,Ubisoft Montreal,Ubisoft,43891,5092,"10,000,000 - 20,000,000",2324,1158,1459,1200,9.99,1044,"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Norwegian, Polish, Portuguese, Portuguese - Brazil, Russian, Swedish, Simplified Chinese","Action, Adventure","Pirates, Open World, Assassin, Action, Adventure, Stealth, Third Person, Parkour, Naval, Multiplayer, Historical, Story Rich, Singleplayer, Exploration, Action-Adventure, Naval Combat, Atmospheric, RPG, Sandbox, Mature"
242640,Styx: Master of Shadows,Cyanide Studio,"Cyanide Studio, Nacon",6611,1383,"10,000,000 - 20,000,000",291,0,146,0,9.99,54,"English, French, Italian, German, Spanish - Spain, Russian",Action,"Stealth, Fantasy, Singleplayer, Adventure, Action, Third Person, RPG, Assassin, Parkour, Steampunk, Dark Fantasy, Atmospheric, Magic, Story Rich, Difficult, Open World, Great Soundtrack, Indie, Gore, Multiplayer"
242680,Nuclear Throne,Vlambeer,Vlambeer,14656,569,"10,000,000 - 20,000,000",1657,120,364,120,9.99,169,English,"Action, Indie, RPG","Action Roguelike, Rogue-like, Indie, Pixel Graphics, Difficult, Bullet Hell, Action, Rogue-lite, Top-Down Shooter, Great Soundtrack, Post-apocalyptic, Shooter, Local Co-Op, Singleplayer, Top-Down, 2D, Twin Stick Shooter, Perma Death, RPG, Local Multiplayer"
242700,Injustice: Gods Among Us Ultimate Edition,"NetherRealm Studios, High Voltage Software",Warner Bros. Interactive Entertainment,14434,2400,"10,000,000 - 20,000,000",317,0,150,0,9.99,63,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian",Action,"Fighting, Superhero, Action, Multiplayer, Comic Book, Local Multiplayer, Singleplayer, Controller, 2D Fighter, Beat 'em up, Arcade, 2.5D, Competitive, Story Rich, Atmospheric, 2D, 3D Vision, Great Soundtrack, Gore, Co-op"
242720,GunZ 2: The Second Duel,"Masangsoft, Inc.","Masangsoft, Inc.",6980,3571,"10,000,000 - 20,000,000",272,0,60,0,9.99,8,"English, Korean, Japanese","Action, Free to Play, Indie","Free to Play, Action, Multiplayer, Third-Person Shooter, Hack and Slash, Shooter, Co-op, Fast-Paced, PvP, Parkour, Third Person, Fighting, FPS, Massively Multiplayer, RPG, Indie, Adventure, Singleplayer, Strategy, First-Person"
242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,307997,16233,"10,000,000 - 20,000,000",2082,248,851,186,9.99,7296,"English, French, German, Czech, Finnish, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Italian, Spanish - Spain","Action, Adventure, Indie, Simulation","Open World Survival Craft, Survival, Open World, Horror, Crafting, Adventure, Building, Survival Horror, First-Person, Action, Exploration, Sandbox, Atmospheric, Singleplayer, Simulation, Indie, Realistic, Gore, Early Access, Zombies"
242860,Verdun,"M2H, Blackmill Games",M2H,29935,5021,"10,000,000 - 20,000,000",6421,21,379,42,9.99,145,"English, French, Italian, German, Spanish - Spain, Portuguese, Russian, Polish, Portuguese - Brazil, Turkish, Simplified Chinese, Japanese","Action, Indie, Massively Multiplayer, Simulation, Strategy","Shooter, Difficult, Co-op, PvP, World War I, First-Person, Action, Strategy, Simulation, Gore, Wargame, Historical, Realistic, Tactical, Multiplayer, FPS, Singleplayer, War, Military, Horror"
242880,"Sir, You Are Being Hunted",Big Robot Ltd,Big Robot Ltd,2933,832,"10,000,000 - 20,000,000",134,0,79,0,9.99,4,English,"Action, Indie","Survival, Stealth, Indie, Robots, First-Person, Procedural Generation, Action, Singleplayer, Open World, Steampunk, Atmospheric, Comedy, Horror, FPS, Multiplayer, Exploration, Kickstarter, Sandbox, Adventure, Rogue-like"
242920,Banished,Shining Rock Software LLC,Shining Rock Software LLC,33448,3660,"10,000,000 - 20,000,000",1460,1963,581,1963,9.99,1021,English,"Indie, Simulation, Strategy","City Builder, Colony Sim, Strategy, Simulation, Survival, Indie, Singleplayer, Sandbox, Medieval, Relaxing, Resource Management, Economy, Building, Management, Open World, Difficult, Beautiful, Procedural Generation, Historical, RTS"
243470,Watch_Dogs,Ubisoft,Ubisoft,22880,8574,"10,000,000 - 20,000,000",1494,0,626,0,9.99,186,"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Hungarian, Polish, Portuguese - Brazil, Swedish, Finnish, Norwegian, Portuguese","Action, Adventure","Open World, Hacking, Action, Multiplayer, Third Person, Adventure, Stealth, Third-Person Shooter, Singleplayer, Shooter, Atmospheric, Parkour, Sandbox, Epic, Dog, Driving, Co-op, Beautiful, Strategy, Futuristic"
243970,"Invisible, Inc.",Klei Entertainment,Klei Entertainment,4565,409,"10,000,000 - 20,000,000",2259,0,2971,0,9.99,35,English,"Action, Indie, Strategy","Stealth, Turn-Based Strategy, Cyberpunk, Turn-Based, Strategy, Rogue-like, Indie, Procedural Generation, Isometric, Singleplayer, Turn-Based Tactics, Tactical, Rogue-lite, Perma Death, Action, Difficult, Sci-fi, Adventure, Great Soundtrack, Female Protagonist"
244050,Rise of Flight United,777 Studios,1C Game Studios,1131,936,"10,000,000 - 20,000,000",58,32,23,32,9.99,13,"English, Russian","Free to Play, Simulation","Simulation, Flight, World War I, Free to Play, Multiplayer, Historical, Singleplayer, Action, Realistic, World War II, War, Shooter, Military, Co-op, Open World, Massively Multiplayer, VR, TrackIR"
244070,Sid Meier’s Ace Patrol,Firaxis Games,2K,463,223,"10,000,000 - 20,000,000",140,0,222,0,9.99,2,"English, French, Italian, German, Spanish - Spain","Casual, Strategy","Strategy, Casual, Turn-Based, Turn-Based Strategy, World War I, Historical, Singleplayer, Touch-Friendly"
244090,Sid Meier’s Ace Patrol: Pacific Skies,Firaxis Games,2K,232,143,"10,000,000 - 20,000,000",110,0,113,0,9.99,0,"English, French, Italian, German, Spanish - Spain","Casual, Strategy","Strategy, Casual, Turn-Based, Turn-Based Strategy, World War II, Singleplayer, Historical"
244160,Homeworld Remastered Collection,Gearbox Software,Gearbox Publishing,8809,1170,"10,000,000 - 20,000,000",755,0,172,0,9.99,275,"English, French, Italian, German, Spanish - Spain, Russian","Simulation, Strategy","Space, Strategy, RTS, Sci-fi, Classic, Great Soundtrack, Story Rich, Remake, Atmospheric, Multiplayer, Simulation, Tactical, Singleplayer, Moddable, Epic, Action, Adventure, 4X, Female Protagonist, Futuristic"
244210,Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,52924,4965,"10,000,000 - 20,000,000",3884,296,537,240,9.99,7329,"English, Italian, Simplified Chinese, Traditional Chinese","Indie, Racing, Simulation, Sports","Racing, Automobile Sim, Simulation, Driving, Realistic, Multiplayer, Sports, VR, Moddable, Controller, Physics, Singleplayer, Open World, First-Person, Indie, Replay Value, Action, 3D Vision, TrackIR, Artificial Intelligence"
244450,Men of War: Assault Squad 2,Digitalmindsoft,1C Entertainment,28491,2977,"10,000,000 - 20,000,000",3114,987,1143,1271,9.99,2008,"English, German, Russian, French, Italian, Spanish - Spain, Polish, Turkish, Simplified Chinese","Action, Simulation, Strategy","Strategy, World War II, Simulation, War, RTS, Action, Tactical, Military, Multiplayer, Real Time Tactics, Realistic, Tanks, Historical, Co-op, Destruction, Singleplayer, Atmospheric, Difficult, Classic, Adventure"
244850,Space Engineers,Keen Software House,Keen Software House,94525,12422,"10,000,000 - 20,000,000",3909,533,744,769,9.99,5214,"English, German, Spanish - Spain, Czech, Danish, Dutch, Polish, French, Italian, Finnish, Hungarian, Norwegian, Portuguese - Brazil, Swedish, Russian, Simplified Chinese","Action, Indie, Simulation, Strategy","Space, Sandbox, Building, Multiplayer, Open World Survival Craft, Simulation, Survival, Open World, Physics, Crafting, Destruction, Co-op, Indie, Futuristic, Sci-fi, Singleplayer, Action, Strategy, Adventure, Early Access"
244930,SNOW - The Ultimate Edition,"Poppermost Productions, WastedStudios, Crytek",Crytek,7944,4155,"10,000,000 - 20,000,000",264,0,52,0,9.99,14,English,"Casual, Indie, Simulation, Sports","Sports, Free to Play, Open World, Multiplayer, Simulation, Early Access, Snow, Indie, Realistic, First-Person, Singleplayer, VR, Skiing, Adventure, Controller, Action, Snowboarding, Exploration, Casual, Third Person"
245170,Skullgirls 2nd Encore,Hidden Variable Studios,Autumn Games,22466,1397,"10,000,000 - 20,000,000",492,19,307,19,9.99,267,"English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil","Action, Indie","Fighting, 2D Fighter, Indie, Female Protagonist, Hand-drawn, Stylized, Multiplayer, Competitive, Anime, Local Multiplayer, Crowdfunded, Controller, Singleplayer, Lore-Rich, Noir, 2D, Action, Arcade, Cartoon, Story Rich"
245280,ENSLAVED: Odyssey to the West Premium Edition,Ninja Theory,BANDAI NAMCO Entertainment,5030,877,"10,000,000 - 20,000,000",263,0,279,0,9.99,11,"English, French, Italian, German, Spanish - Spain","Action, Adventure","Adventure, Action, Post-apocalyptic, Story Rich, Singleplayer, Hack and Slash, Third Person, Action-Adventure, Sci-fi, Atmospheric, Robots, Platformer, Parkour, Great Soundtrack, 3D Platformer, Female Protagonist, Linear, Controller, 3D Vision, Open World"
245390,"I Have No Mouth, and I Must Scream",Cyberdreams,Nightdive Studios,1175,150,"10,000,000 - 20,000,000",116,0,158,0,9.99,6,"English, French, Italian, German, Spanish - Spain",Adventure,"Point & Click, Adventure, Horror, Classic, Retro, Based On A Novel, Story Rich, Cult Classic, Singleplayer, 1990's, Dark, 2D, Post-apocalyptic, Great Soundtrack, Surreal, Psychological Horror, Puzzle, Funny, Cyberpunk, Sci-fi"
245470,Democracy 3,Positech Games,Positech Games,5314,1800,"10,000,000 - 20,000,000",1406,0,417,0,9.99,24,"English, German, French, Italian, Spanish - Spain, Polish, Portuguese, Russian, Simplified Chinese","Indie, Simulation, Strategy","Political Sim, Simulation, Politics, Strategy, Indie, Turn-Based, Political, Singleplayer, Economy, Management, Sandbox, Moddable, Difficult, 2D, Turn-Based Strategy, Education, Casual, Capitalism, Sequel, Funny"
245620,Tropico 5,Haemimont Games,Kalypso Media Digital,10199,2829,"10,000,000 - 20,000,000",1132,0,565,0,9.99,220,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Japanese","RPG, Simulation, Strategy","Strategy, City Builder, Simulation, Sandbox, Multiplayer, Economy, Politics, Management, Singleplayer, Resource Management, Comedy, Co-op, RPG, Historical, Great Soundtrack, RTS, Atmospheric, Funny, Open World, Adventure"
246420,Kingdom Rush  - Tower Defense,Ironhide Game Studio,Ironhide Game Studio,8626,271,"10,000,000 - 20,000,000",474,0,342,0,9.99,395,"English, French, German, Spanish - Spain, Japanese, Korean, Portuguese, Russian, Spanish - Latin America, Traditional Chinese",Strategy,"Tower Defense, Strategy, Singleplayer, 2D, Tactical, Fantasy, Action, Casual, Adventure, Funny, Medieval, Cartoon, Cartoony, Action-Adventure, Indie, Touch-Friendly, Difficult, Comedy, RPG, Colorful"
246620,Plague Inc: Evolved,Ndemic Creations,Ndemic Creations,39430,2326,"10,000,000 - 20,000,000",568,83,278,83,9.99,360,"English, French, German, Russian, Spanish - Spain, Italian, Portuguese, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Japanese, Norwegian, Polish, Turkish, Korean","Casual, Indie, Simulation, Strategy","Strategy, Simulation, Outbreak Sim, Indie, Singleplayer, Multiplayer, Zombies, Casual, Tactical, Replay Value, Post-apocalyptic, Addictive, Realistic, 2D, Early Access, Difficult, Atmospheric, Co-op, Sandbox, Survival"
246900,Viscera Cleanup Detail,RuneStorm,RuneStorm,13418,989,"10,000,000 - 20,000,000",563,0,313,0,9.99,224,English,"Indie, Simulation","Simulation, Gore, Multiplayer, Co-op, First-Person, Indie, Funny, Physics, Sci-fi, Comedy, Space, Singleplayer, Horror, Blood, Casual, Walking Simulator, Parody , Sandbox, Adventure, Relaxing"
247000,Talisman: Digital Edition,Nomad Games,Nomad Games,5527,1581,"10,000,000 - 20,000,000",306,0,306,0,9.99,233,"English, French, Italian, German, Spanish - Spain, Polish, Russian","Indie, RPG, Strategy","Board Game, Tabletop, Strategy, Multiplayer, RPG, Indie, Turn-Based, Card Game, Fantasy, Local Multiplayer, Singleplayer, Games Workshop, Adventure, Turn-Based Strategy, Casual, Local Co-Op, Touch-Friendly, PvP, 2.5D, Grid-Based Movement"
247020,"Cook, Serve, Delicious!",Vertigo Gaming Inc.,Vertigo Gaming Inc.,4864,267,"10,000,000 - 20,000,000",737,0,413,0,9.99,15,English,"Action, Indie, Simulation, Strategy","Time Management, Typing, Casual, Management, Difficult, Arcade, 2D, Strategy, Cute, Funny, Action, Family Friendly, Simulation, Comedy, Co-op, Local Co-Op, Cooking, Local Multiplayer, 4 Player Local, Singleplayer"
247080,Crypt of the NecroDancer,Brace Yourself Games,"Brace Yourself Games, Klei Entertainment",20037,808,"10,000,000 - 20,000,000",488,1,187,1,9.99,157,"English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Korean, Simplified Chinese, Traditional Chinese","Action, Indie, RPG","Rhythm, Perma Death, Mystery Dungeon, Rogue-like, Dungeon Crawler, Difficult, Action Roguelike, Rogue-lite, Music-Based Procedural Generation, Female Protagonist, Grid-Based Movement, Hack and Slash, Pixel Graphics, 2D, Magic, RPG, Procedural Generation, Top-Down, Action, Fantasy"
247120,Portal 2 Sixense Perceptual Pack,,Sixense,264,233,"10,000,000 - 20,000,000",132,0,21,0,9.99,28,English,,"Adventure, Free to Play, Action, Multiplayer, Puzzle, First-Person, Singleplayer, Robots, FPS, Strategy, Co-op"
